iter	Passed	Remaining
668	2208	1092
669	2211	1089
670	2214	1085
671	2217	1082
672	2220	1078
673	2223	1075
674	2226	1072
675	2229	1068
676	2232	1065
677	2235	1061
678	2238	1058
679	2240	1054
680	2243	1051
681	2246	1047
682	2249	1043
683	2252	1040
684	2255	1037
685	2258	1033
686	2261	1030
687	2264	1026
688	2267	1023
689	2270	1019
690	2272	1016
691	2275	1012
692	2278	1009
693	2281	1005
694	2284	1002
695	2286	998
696	2289	995
697	2292	991
698	2295	988
699	2297	984
700	2300	981
701	2303	977
702	2306	974
703	2309	970
704	2311	967
705	2314	963
706	2317	960
707	2320	956
708	2323	953
709	2325	949
710	2328	946
711	2331	943
712	2334	939
713	2337	936
714	2339	932
715	2342	929
716	2345	925
717	2348	922
718	2351	918
719	2353	915
720	2356	911
721	2359	908
722	2362	905
723	2366	901
724	2369	898
725	2371	895
726	2374	891
727	2377	888
728	2380	885
729	2384	881
730	2387	878
731	2390	875
732	2393	872
733	2397	868
734	2401	865
735	2404	862
736	2407	859
737	2410	855
738	2413	852
739	2416	849
740	2420	846
741	2424	842
742	2427	839
743	2430	836
744	2433	832
745	2436	829
746	2440	826
747	2444	823
748	2447	820
749	2450	816
750	2453	813
751	2457	810
752	2460	807
753	2462	803
754	2465	800
755	2468	796
756	2471	793
757	2474	789
758	2477	786
759	2479	783
760	2482	779
761	2485	776
762	2488	772
763	2491	769
764	2494	766
765	2497	762
766	2500	759
767	2503	756
768	2506	752
769	2509	749
770	2512	746
771	2515	742
772	2518	739
773	2521	736
774	2524	732
775	2527	729
776	2530	726
777	2534	723
778	2537	719
779	2540	716
780	2543	713
781	2547	710
782	2550	706
783	2553	703
784	2556	700
785	2560	697
786	2563	693
787	2566	690
788	2569	687
789	2572	683
790	2575	680
791	2579	677
792	2582	674
793	2585	670
794	2588	667
795	2591	664
796	2594	660
797	2598	657
798	2601	654
799	2604	651
800	2607	647
801	2610	644
802	2613	641
803	2616	637
804	2619	634
805	2622	631
806	2625	627
807	2628	624
808	2631	621
809	2634	618
810	2638	614
811	2641	611
812	2644	608
813	2647	604
814	2650	601
815	2653	598
816	2657	595
817	2660	591
818	2663	588
819	2666	585
820	2669	582
821	2672	578
822	2676	575
823	2679	572
824	2682	568
825	2685	565
826	2688	562
827	2691	559
828	2695	555
829	2698	552
830	2701	549
831	2704	546
832	2707	542
833	2710	539
834	2714	536
835	2717	533
836	2720	529
837	2723	526
838	2726	523
839	2729	519
840	2733	516
841	2736	513
842	2739	510
843	2742	506
844	2746	503
845	2749	500
846	2752	497
847	2755	493
848	2759	490
849	2762	487
850	2765	484
851	2768	480
852	2772	477
853	2775	474
854	2778	471
855	2781	467
856	2784	464
857	2788	461
858	2791	458
859	2794	454
860	2797	451
861	2800	448
862	2803	445
863	2807	441
864	2809	438
865	2812	435
866	2815	431
867	2818	428
868	2822	425
869	2825	422
870	2828	418
871	2831	415
872	2834	412
873	2837	409
874	2840	405
875	2842	402
876	2845	399
877	2848	395
878	2851	392
879	2854	389
880	2857	385
881	2860	382
882	2863	379
883	2866	376
884	2869	372
885	2871	369
886	2874	366
887	2877	362
888	2880	359
889	2883	356
890	2886	353
891	2889	349
892	2892	346
893	2894	343
894	2897	339
